









































































































































































































































































































































































































Christian Bale      
Michael Caine       
Liam Neeson         
Katie Holmes        
Gary Oldman         
Cillian Murphy      
Tom Wilkinson       
Rutger Hauer        
Ken Watanabe        
Mark Boone Junior   
Linus Roache        
Morgan Freeman      
Larry Holden        
Gerard Murphy       
Colin McFarlane     
Sara Stewart        
Gus Lewis           
Richard Brake       
Rade Serbedzija     
Emma Lockhart       
Christine Adams     
Catherine Porter    
John Nolan          
Karen David         
Tamer Hassan        
Ronan Leahy         
Vincent Wong        
Tom Wu              
Mark Chiu           
Turbo Kong          
Chike Chan          
Tenzin Clive Ball   
Tenzin Gyurme       
Jamie Hayden        
David Murray        
John Kazek          
Darragh Kelly       
Patrick Nolan       
Joseph Rye          
Kwaku Ankomah       
Jo Martin           
Charles Edwards     
Lucy Russell        
Timothy Deenihan    
David Bedella       
Flavia Masetto      
Martin McDougall    
Noah Lee Margetts   
Joe Hanley          
Karl Shiels         
Roger Griffiths     
Stephen Walters     
Richard Laing       
Matt Miller         
Risteard Cooper     
Shane Rimmer        
Jeremy Theobald     
Alexandra Bastedo   
Soo Hee Ding        
Conn Horgan         
Phill Curr          
Jack Gleeson        
John Judd           
Sarah Wateridge     
Charlie Kranz       
Terry McMahon       
Cedric Young        
Tim Booth           
Tom Nolan           
Leon Delroy Williams
Roger Yuan          
Joe Sargent         
Mel Taylor          
Ilyssa Fradin       
Andrew Pleavin      
Jeff Christian      
John Burke          
Earlene Bentley     
Alex Moggridge      
Jay Buozzi          
Jordan Shaw         
Omar Mustafa        
Patrick Pond        
Poppy Tierney       
Rory Campbell       
Fabio Cardascia     
Spencer Wilding     
Mark Rhino Smith    
Khan Bonfils        
Dave Legeno         
Ruben Halse         
Rodney Ryan         
Dominic Burgess     
Mark Straker        
Kieran Hurley       
Emmanuel Idowu      
Jeff Tanner         
Dean Alexandrou     
Joey Ansah          
Anoushka Arden      
Alex Argenti        
Lasco Atkins        
Morne Botes         
Kimber Closson      
Ray Donn            
James Embree        
Jon Foo             
Tommy Gunn          
Philip Harvey       
Adam Hawkes         
Scott Hinds         
Gil Kolirin         
Jeff Lipman         
Emil Martirossian   
Jane Osborn         
Ernest Pierce       
Dan Poole           
Abdul Popoola       
Marc Radz           
Mike Savva          
Michael Stailey     
Mark Strange        
Chuen Tsou          
Russell Wilcox      
























































